t_s	vx_mm_s	vy_mm_s	vz_mm_s
9.790419	-9.777609	-8.356327	-2.732311
9.810443	-8.808358	-11.254075	0.300606
9.830431	-21.510759	-17.689410	1.276884
9.850421	-9.790663	-8.351774	-2.738118
9.870420	-7.450606	-10.557807	3.918784
9.890419	-21.884303	-17.848629	-1.775245
9.910419	-5.746703	-6.294304	0.204940
9.930472	-19.242442	-19.857029	-0.038325
9.950445	-9.448095	-8.160379	0.276939
9.970422	-8.431692	-7.644300	0.874101
9.990462	-21.291314	-20.867150	-1.802004
10.010441	-9.454202	-8.150296	0.267211
10.030514	-8.834615	-11.184763	0.263518
10.050391	-17.994935	-15.859485	1.127421
10.070472	0.000000	0.000000	0.000000
10.090421	-21.424722	-20.931759	-1.837859
10.110420	-9.459371	-8.131109	0.252401
10.130420	-11.115353	-8.961209	1.513354
10.150926	-21.982576	-14.340698	-1.807318
10.170440	-9.702435	-8.327272	0.247879
10.190420	-11.135305	-8.964306	1.500435
10.210423	-25.222453	-16.037257	-1.214303
10.230452	-9.460691	-8.106916	0.230080
10.250420	-11.151252	-8.963711	1.485702
10.270487	-10.012753	-5.029582	0.223842
10.290422	-23.737401	-18.647227	-0.649144
10.310483	-10.018747	-5.030084	0.215853
10.330560	-8.941034	-9.092612	0.213168
10.350421	-21.860402	-13.059285	1.680998
10.370418	-12.535688	-9.634568	-2.134570
10.390510	-12.479140	-9.586998	-2.126130
10.410422	-18.196811	-17.112753	3.399575
10.430419	-13.104108	-6.569301	-2.143843
10.450510	-8.445893	-7.554978	0.788358
10.470431	-21.771742	-17.603589	1.024285
10.490419	-12.560440	-9.624950	-2.154260
10.510420	-10.063776	-5.040098	0.182402
10.530459	-20.645584	-16.980101	1.591149
10.550423	-12.584376	-9.630063	-2.166266
10.570448	-9.181895	-3.324330	3.738284
10.590472	-24.737589	-19.012317	-1.366552
10.610442	-9.027270	-9.112866	0.162823
10.630419	-13.097129	-8.596588	-2.177385
10.650450	-22.250199	-14.432505	0.941722
10.670444	-9.025054	-9.096721	0.152079
10.690446	-18.591437	-12.599446	0.895615
10.710418	-9.549079	-8.083422	0.144877
10.730420	-13.095139	-8.574959	-2.190840
10.750420	-20.747391	-16.966825	1.499573
10.770445	-13.119545	-6.547517	-2.195595
10.790422	-9.189029	-7.890240	3.088611
10.810442	-12.586542	-9.575364	-2.201425
10.830420	-10.720567	-9.921179	1.345383
10.850444	-21.283990	-13.904413	1.457033
10.870430	-12.617449	-9.585423	-2.215683
10.890429	-12.244427	-9.393920	0.729373
10.910427	-22.318862	-16.426512	0.832743
10.930505	0.000000	0.000000	0.000000
10.950543	-23.808911	-18.414418	-0.909973
10.970420	-11.822119	-10.466611	0.713419
10.990422	-14.293900	-10.393818	-1.025131
11.010543	-22.230778	-14.318931	0.785253
11.030445	-13.204378	-8.582983	-2.251436
11.050443	-21.345835	-18.432067	0.770819
11.070443	0.000000	0.000000	0.000000
11.090422	-18.831174	-11.361650	3.686812
11.110419	-9.587668	-8.033344	0.073170
11.130461	-12.099449	-12.530617	-2.251201
11.150421	-15.485022	-20.771120	-0.463908
11.170420	-10.098271	-11.533739	-0.534602
11.190428	-8.059396	-10.514435	0.660600
11.210424	-16.505176	-21.213020	-1.076843
11.230443	-8.579090	-7.500273	0.653700
