t_s	x_mm	y_mm	z_mm	roll_rad	pitch_rad	yaw_rad	fx_N	fy_N	fz_N
4.230426	587.808162	60.243889	98.579650	0.000299	0.000731	1.569896	-16.458837	-12.523326	11.867782
4.250423	588.000544	60.423527	98.627223	0.000196	0.000772	1.569896	-12.090404	-11.307896	11.662638
4.270423	588.134230	60.603055	98.584130	0.000238	0.000875	1.569996	-11.064655	-13.317995	11.425724
4.290448	588.338542	60.812676	98.643627	0.000196	0.000772	1.569896	-8.061297	-13.831712	11.076987
4.310442	588.739389	61.228941	98.706040	0.000154	0.000669	1.569896	-11.249774	-13.192861	10.586149
4.330444	588.739389	61.228941	98.706040	0.000154	0.000669	1.569896	-11.249774	-13.192861	10.586149
4.350375	589.105295	61.692291	98.699759	0.000195	0.000773	1.569896	-18.072088	-13.376271	10.367035
4.370489	589.301678	61.899100	98.702529	0.000195	0.000773	1.569896	-17.918927	-15.589535	10.244739
4.390422	589.547295	62.188625	98.694747	0.000195	0.000773	1.569896	-12.131622	-13.594874	10.014531
4.410428	589.743507	62.395616	98.697400	0.000195	0.000773	1.569896	-11.024069	-14.054879	9.876193
4.430513	590.073938	62.845114	98.713111	0.000194	0.000773	1.569996	-10.240811	-13.435189	9.523791
4.450423	590.227825	63.034334	98.681424	0.000194	0.000773	1.569996	-7.408618	-8.658804	9.255565
4.470424	590.486764	63.268603	98.730074	0.000153	0.000670	1.569996	-5.964993	-6.249999	8.988084
4.490429	590.815374	63.656453	98.688676	0.000194	0.000773	1.569896	-14.500952	-12.606447	9.151957
4.510480	590.815374	63.656453	98.688676	0.000194	0.000773	1.569896	-14.500952	-12.606447	9.151957
4.530421	591.200307	64.130697	98.693261	0.000193	0.000773	1.569896	-10.379564	-13.079946	9.462005
4.550423	591.416768	64.347372	98.707449	0.000152	0.000670	1.569896	-8.411585	-12.384291	9.519188
4.570421	591.612238	64.555147	98.709618	0.000152	0.000670	1.569896	-13.515645	-14.356229	9.788856
4.590463	591.933517	65.003049	98.667591	0.000193	0.000773	1.569896	-13.896312	-12.055658	10.228613
4.610422	592.128760	65.211059	98.669606	0.000192	0.000773	1.569896	-13.551293	-12.094571	10.329647
4.630424	592.344840	65.428147	98.683541	0.000151	0.000670	1.569896	-7.329551	-8.717450	10.236887
4.650445	592.707475	65.894813	98.675352	0.000192	0.000773	1.569996	-18.045150	-18.872844	10.743462
4.670422	592.860407	66.085023	98.642905	0.000192	0.000773	1.569996	-16.705412	-15.110156	10.885557
4.690423	593.055279	66.293423	98.644666	0.000192	0.000773	1.569896	-8.795646	-8.034081	10.734007
4.710423	593.257609	66.505150	98.703478	0.000151	0.000670	1.569896	-4.589088	-8.191790	10.488155
4.730421	593.452336	66.713702	98.705163	0.000150	0.000670	1.569896	-8.025478	-12.105913	10.330459
4.750511	593.834858	67.190416	98.708383	0.000150	0.000670	1.569896	-11.357808	-12.178436	10.216529
4.770421	594.029349	67.399213	98.709919	0.000150	0.000670	1.569896	-7.852674	-9.395814	10.077479
4.790445	594.223767	67.608085	98.711405	0.000150	0.000670	1.569896	-8.893927	-10.237158	9.996244
4.810445	594.605583	68.085516	98.714228	0.000149	0.000671	1.569996	-11.859503	-13.320023	9.994257
4.830430	594.799765	68.294634	98.715566	0.000149	0.000671	1.569996	-7.854732	-7.746830	9.830499
4.850484	595.132636	68.689075	98.729123	0.000149	0.000671	1.569996	-8.993349	-10.520019	9.624362
4.870445	595.263821	68.871111	98.684037	0.000190	0.000774	1.569996	-8.245061	-10.898124	9.573609
4.890444	595.478604	69.089587	98.697159	0.000149	0.000671	1.569996	-5.440104	-7.636886	9.427885
4.910430	595.873718	69.511886	98.756721	0.000108	0.000567	1.569896	-6.494639	-9.575812	9.337868
4.930421	595.983788	69.685079	98.699464	0.000189	0.000774	1.569896	-14.134951	-16.659056	9.702597
